,ith_scan,data_points,iterations,time cost
0,1,342,79,5.86
1,2,349,107,5.35
2,3,351,59,4.13
3,4,372,81,4.56
4,5,369,88,7.49
5,6,367,64,4.86
6,7,369,63,6.55
7,8,372,78,7.01
8,9,367,73,6.14
9,10,337,67,6.06
10,11,347,79,4.81
11,12,333,105,8.21
12,13,340,78,6.45
13,14,347,50,5.69
14,15,361,115,10.46
15,16,331,82,10.3
16,17,325,101,7.04
17,18,330,121,9.08
18,19,368,149,10.44
19,20,414,269,12.78
20,21,427,185,18.22
21,22,447,151,14.4
22,23,473,230,19.27
23,24,379,276,10.35
24,25,416,233,11.79
25,26,473,123,10.56
26,27,486,178,14.03
27,28,472,149,11.33
28,29,455,111,10.03
29,30,419,147,9.32
30,31,395,93,5.61
31,32,397,98,6.15
32,33,387,72,6.33
33,34,393,111,7.28
34,35,408,131,8.93
35,36,393,76,6.02
36,37,374,56,3.53
37,38,377,73,5.48
38,39,359,72,5.01
39,40,355,62,3.88
40,41,457,125,12.7
41,42,437,131,9.98
42,43,435,132,9.35
43,44,449,136,9.22
44,45,468,150,11.94
45,46,448,181,11.74
46,47,466,156,10.52
47,48,484,145,10.24
48,49,402,134,8.69
49,50,397,114,6.58
50,51,379,85,4.77
51,52,385,90,5.88
52,53,372,72,4.36
53,54,376,88,5.24
54,55,382,134,8.7
55,56,401,162,9.48
56,57,393,139,8.23
57,58,362,115,8.36
58,59,362,85,8.44
59,60,363,129,7.81
60,61,373,80,7.78
61,62,383,75,6.13
62,63,398,99,6.73
63,64,442,97,8.47
64,65,457,122,15.63
65,66,444,108,10.52
66,67,449,111,14.24
67,68,432,120,21.92
68,69,430,138,12.93
69,70,419,126,10.32
70,71,423,159,9.55
71,72,417,137,9.75
72,73,388,119,6.2
73,74,387,99,6.05
74,75,388,71,5.4
75,76,397,111,6.84
76,77,401,101,7.5
77,78,409,154,10.24
78,79,404,121,11.9
79,80,409,107,12.49
80,81,401,124,8.29
81,82,397,136,9.79
82,83,411,126,7.1
83,84,402,85,5.65
84,85,423,71,4.84
85,86,387,99,6.38
86,87,388,89,5.96
87,88,374,76,5.29
88,89,392,92,7.24
89,90,371,128,7.05
90,91,352,81,8.15
91,92,355,71,5.75
92,93,357,134,8.38
93,94,355,120,5.95
94,95,393,104,8.92
95,96,389,121,9.29
96,97,345,99,5.21
97,98,344,88,5.09
98,99,344,92,5.83
99,100,323,101,5.65
