,ith_scan,data_points,iterations,time cost
0,1,342,75,5.44
1,2,349,72,4.29
2,3,351,55,3.89
3,4,372,59,6.02
4,5,369,82,6.48
5,6,367,71,5.17
6,7,369,59,4.56
7,8,372,63,6.29
8,9,367,65,4.98
9,10,337,59,4.16
10,11,347,62,3.92
11,12,333,100,4.74
12,13,340,68,4.85
13,14,347,42,5.02
14,15,361,64,5.68
15,16,331,76,5.69
16,17,325,96,7.28
17,18,330,88,7.5
18,19,368,129,8.43
19,20,414,407,21.61
20,21,427,179,19.36
21,22,447,171,24.74
22,23,473,188,30.44
23,24,379,282,15.42
24,25,416,155,10.74
25,26,473,154,14.79
26,27,486,194,12.7
27,28,472,114,8.9
28,29,455,91,9.43
29,30,419,132,10.23
30,31,395,87,6.32
31,32,397,73,5.13
32,33,387,66,4.93
33,34,393,75,6.83
34,35,408,117,9.95
35,36,393,60,6.65
36,37,374,41,4.06
37,38,377,53,3.37
38,39,359,50,3.82
39,40,355,53,3.6
40,41,457,93,10.1
41,42,437,120,10.09
42,43,435,106,11.8
43,44,449,130,13.74
44,45,468,156,17.02
45,46,448,147,18.7
46,47,466,141,16.53
47,48,484,165,14.46
48,49,402,117,13.52
49,50,397,114,10.27
50,51,379,63,4.27
51,52,385,66,5.49
52,53,372,78,7.18
53,54,376,77,6.17
54,55,382,131,17.11
55,56,401,182,22.72
56,57,393,113,16.77
57,58,362,94,12.8
58,59,362,87,10.73
59,60,363,93,8.62
60,61,373,84,7.19
61,62,383,72,10.3
62,63,398,93,12.84
63,64,442,82,8.26
64,65,457,121,11.51
65,66,444,103,13.74
66,67,449,115,13.66
67,68,432,103,13.11
68,69,430,109,13.11
69,70,419,126,11.61
70,71,423,135,8.35
71,72,417,113,10.95
72,73,388,102,4.95
73,74,387,90,7.9
74,75,388,67,6.44
75,76,397,88,5.44
76,77,401,99,6.22
77,78,409,125,6.47
78,79,404,94,8.98
79,80,409,92,9.7
80,81,401,146,11.31
81,82,397,113,11.37
82,83,411,97,9.8
83,84,402,71,10.33
84,85,423,66,7.93
85,86,387,82,10.64
86,87,388,73,11.22
87,88,374,79,8.96
88,89,392,80,7.32
89,90,371,71,6.98
90,91,352,72,4.83
91,92,355,66,9.24
92,93,357,107,9.49
93,94,355,138,8.29
94,95,393,98,8.24
95,96,389,125,8.93
96,97,345,118,8.28
97,98,344,56,3.72
98,99,344,43,4.71
99,100,323,91,4.08
